"ID"	"Tissue"	"Histology"	"State"
"TCGA.2H.A9GR.01A.12R.A37I.31"	"TCGA.2H.A9GR.01A.12R.A37I.31"	"Tumor"	"ESCA"	"S01"
"TCGA.46.3766.01A.01R.0980.07"	"TCGA.46.3766.01A.01R.0980.07"	"Tumor"	"LUSC"	"S01"
"TCGA.YL.A8HO.01A.11R.A36G.07"	"TCGA.YL.A8HO.01A.11R.A36G.07"	"Tumor"	"PRAD"	"S01"
"TCGA.EL.A3H7.11A.11R.A21D.07"	"TCGA.EL.A3H7.11A.11R.A21D.07"	"Normal"	"THCA"	"S01"
"TCGA.EL.A3CV.01A.11R.A19O.07"	"TCGA.EL.A3CV.01A.11R.A19O.07"	"Tumor"	"THCA"	"S01"
"TCGA.DO.A2HM.01B.11R.A22L.07"	"TCGA.DO.A2HM.01B.11R.A22L.07"	"Tumor"	"THCA"	"S01"
"TCGA.CG.5733.11A.01R.1602.13"	"TCGA.CG.5733.11A.01R.1602.13"	"Normal"	"STAD"	"S01"
"TCGA.CN.A6V1.01A.12R.A34R.07"	"TCGA.CN.A6V1.01A.12R.A34R.07"	"Tumor"	"HNSC"	"S01"
"TCGA.W5.AA33.01A.11R.A41I.07"	"TCGA.W5.AA33.01A.11R.A41I.07"	"Tumor"	"CHOL"	"S01"
"TCGA.A2.A3XY.01A.11R.A239.07"	"TCGA.A2.A3XY.01A.11R.A239.07"	"Tumor"	"BRCA"	"S01"
"TCGA.CD.8531.01A.11R.2343.13"	"TCGA.CD.8531.01A.11R.2343.13"	"Tumor"	"STAD"	"S01"
"TCGA.CH.5751.01A.11R.1580.07"	"TCGA.CH.5751.01A.11R.1580.07"	"Tumor"	"PRAD"	"S01"
"TCGA.E2.A15C.01A.31R.A12D.07"	"TCGA.E2.A15C.01A.31R.A12D.07"	"Tumor"	"BRCA"	"S01"
"TCGA.MA.AA42.01A.12R.A38B.07"	"TCGA.MA.AA42.01A.12R.A38B.07"	"Tumor"	"CESC"	"S01"
"TCGA.CR.5249.01A.01R.1514.07"	"TCGA.CR.5249.01A.01R.1514.07"	"Tumor"	"HNSC"	"S01"
"TCGA.A5.A2K3.01A.11R.A32Y.07"	"TCGA.A5.A2K3.01A.11R.A32Y.07"	"Tumor"	"UCEC"	"S01"
